wl,F
4854.617675781249,882296.6156082153
4855.867675781249,883321.0366821289
4857.11767578125,886902.1439437866
4858.367675781249,886935.5251159668
4859.61767578125,895064.9794006348
4860.867675781249,905488.3570556641
4862.11767578125,909263.7559890747
4863.36767578125,912946.8514938354
4864.617675781249,921015.455001831
4865.86767578125,923469.0059661865
4867.117675781249,919547.0631256104
4868.36767578125,909181.4449539185
4869.617675781249,897868.203163147
4870.867675781249,889571.029510498
4872.11767578125,881452.4071731567
4873.367675781249,880297.1148071289
4874.61767578125,880148.6813049316
4875.867675781249,877813.2537002563
4877.117675781249,874993.055557251
4878.36767578125,872549.7475509644
4879.617675781249,872722.8365707397
4880.86767578125,875824.2064819336
4882.117675781249,876063.4060668945
4883.36767578125,878024.4415130615
4884.61767578125,877068.2555618286
4885.867675781249,868827.107925415
4887.11767578125,865619.359046936
4888.367675781249,863286.4173049927
4889.61767578125,864391.7589111328
4890.867675781249,868283.8022842407
4892.117675781249,873243.1713485718
4893.36767578125,880261.2486190796
4894.617675781249,882074.4152526855
4895.86767578125,880595.8654251099
4897.117675781249,879558.5014266968
4898.367675781249,871323.0475845337
4899.61767578125,861606.0420837402
4900.867675781249,849082.9123306274
4902.11767578125,831364.8391723633
4903.367675781249,815546.5549125671
4904.61767578125,797380.0257720947
4905.86767578125,781718.7468643188
4907.117675781249,762626.4663925171
4908.36767578125,756423.1111907959
4909.617675781249,754454.1125946045
4910.86767578125,765650.3114395142
4912.117675781249,780097.6820602417
4913.367675781249,792542.9397201538
4914.61767578125,804611.3608398438
4915.867675781249,809436.3554153442
4917.11767578125,808763.8999252319
4918.367675781249,802908.1804351807
4919.617675781249,800645.3539581299
4920.86767578125,809676.2125778198
4922.117675781249,822775.654586792
4923.36767578125,839410.9540252686
4924.617675781249,857990.1935577393
4925.86767578125,871891.123085022
4927.11767578125,875415.9750595093
4928.367675781249,877931.9481887817
4929.61767578125,871035.315071106
4930.867675781249,861453.318977356
4932.11767578125,851417.6496276855
4933.367675781249,838701.9957351685
4934.617675781249,828613.90209198
4935.86767578125,819213.2545547485
4937.117675781249,817752.4371871948
4938.36767578125,824257.9115142822
4939.617675781249,845800.4530334473
4940.867675781249,871728.4166717529
4942.11767578125,902299.7477035522
4943.367675781249,926083.9989624023
4944.61767578125,936294.5668411255
4945.867675781249,937973.4876251221
4947.11767578125,936034.1874847412
4948.36767578125,923507.8072357178
4949.617675781249,916184.8289337158
4950.86767578125,915307.8005065918
4952.117675781249,914992.9764480591
4953.36767578125,917577.6706771851
4954.617675781249,911162.6416473389
4955.867675781249,903819.1618270874
4957.11767578125,895597.2551651001
4958.367675781249,891861.283416748
4959.61767578125,892831.6434707642
4960.867675781249,895902.953918457
4962.117675781249,899076.6469802856
4963.36767578125,893175.8536758423
4964.617675781249,876653.9142913818
4965.86767578125,852307.9658050537
4967.117675781249,828326.2543945312
4968.36767578125,816346.7799835205
4969.61767578125,814146.7970733643
4970.867675781249,829869.1870193481
4972.11767578125,852593.634979248
4973.367675781249,882178.3366851807
4974.61767578125,906500.1544799805
4975.867675781249,926254.4219741821
4977.117675781249,938347.6232223511
4978.36767578125,944388.0389251709
4979.617675781249,939357.8119888306
4980.86767578125,928939.4106292725
4982.117675781249,912837.1433181763
4983.367675781249,897448.9844665527
4984.61767578125,883498.0664138794
4985.867675781249,876365.0144119263
4987.11767578125,878527.8310623169
4988.367675781249,889720.1940612793
4989.61767578125,907783.959060669
4990.86767578125,926650.7625656128
4992.117675781249,944852.8701934814
4993.36767578125,955718.1704483032
4994.617675781249,967913.4898147583
4995.86767578125,974570.4764938354
4997.11767578125,977654.6060638428
4998.367675781249,977545.1921920776
4999.61767578125,973618.5713806152
5000.867675781249,959619.1928253174
5002.11767578125,939988.0818710327
5003.367675781249,922113.9202957153
5004.617675781249,905301.4203186035
5005.86767578125,897437.492111206
5007.117675781249,903673.8517913818
5008.36767578125,914435.4037246704
5009.617675781249,924283.5974807739
5010.867675781249,931339.848487854
5012.11767578125,924793.7294616699
5013.367675781249,912003.9482955933
5014.61767578125,906593.1201705933
5015.867675781249,899859.8841934204
5017.11767578125,899386.6334686279
5018.36767578125,905778.0715408325
5019.617675781249,918977.5869522095
5020.86767578125,927436.1805267334
5022.117675781249,933816.3797531128
5023.36767578125,932682.4303283691
5024.617675781249,924078.4385070801
5025.867675781249,909286.1171798706
5027.11767578125,886269.7148742676
5028.367675781249,863512.8080368042
5029.61767578125,841218.1215133667
5030.867675781249,827402.4501190186
5032.117675781249,822922.7661056519
5033.36767578125,832728.9670791626
5034.617675781249,846257.3794631958
5035.86767578125,862290.1349334717
5037.117675781249,879541.1666183472
5038.36767578125,889960.9380340576
5039.61767578125,891938.703414917
5040.867675781249,893490.612663269
5042.11767578125,894946.815612793
5043.367675781249,897272.8261184692
5044.61767578125,892476.1346282959
5045.867675781249,889086.903213501
5047.117675781249,879340.8815155029
5048.36767578125,864473.4150466919
5049.617675781249,856782.1220932007
5050.86767578125,849540.1468200684
5052.117675781249,855928.6658630371
5053.367675781249,870061.4085845947
5054.61767578125,885665.5248718262
5055.867675781249,892625.9816665649
5057.11767578125,892789.303855896
5058.367675781249,885664.620475769
5059.617675781249,862969.1248703003
5060.86767578125,837895.5346603394
5062.117675781249,815824.7589569092
5063.36767578125,806171.4929428101
5064.617675781249,803456.2999725342
5065.86767578125,807986.6638259888
5067.117675781249,814000.4346542358
5068.367675781249,821838.954284668
5069.61767578125,826925.3520584106
5070.867675781249,831808.7573165894
5072.11767578125,840012.3525924683
5073.367675781249,845593.3056945801
