 #1)No	#2)log(U)	#3)log(n_H/cm^-3)	#4)log(Age/yr)	#5)NII[6548A]	 #6)EW_NII[6548A]	 #7)NII[6584A]	 #8)EW_NII[6584A]	 #9)SII[6716A]	 #10)EW_SII[6716A]	 #11)SII[6731A]	#12)EW_SII[6731A]	 #13)OI[6300A]	 #14)EW_OI[6300A]	 #15)OIII[4959A]	#16)EW_OIII[4959A]	#17)OIII[5007A]	#18)EW_OIII[5007A]	#19)Ha[6563A]	#20)EW_Ha[6563A]	#21)Hb[4861A]	#22)EW_Hb[4861A]	#23)HeII[4686A]	#24)EW_HeII[4686A]
                   17 -3.5	0.0   7.5999999046325684        1.1170070679772575E+037   2.2585324482110618        3.2965215652660541E+037   6.8481531767332937        5.5087862475889446E+037   11.175281040710997        3.8023835389336110E+037   7.7048121301985022        3.6145640194300324E+036  0.64084994850615373        3.0342818630242303E+036  0.30309493868104886        9.1212828039317917E+036  0.96327949692171333        1.3275653883538642E+038   29.186451063897920        4.4468852332068452E+037   5.0758005435431848        1.2107540241324644E+034   1.0433220790182411E-003
                   18 -3.5	0.0   7.6999998092651367        1.1112480291271122E+037   2.6065927775237654        3.2795254366747677E+037   7.9043696731518223        5.4552040985755646E+037   12.791664293744217        3.7653990069092849E+037   8.8231179857557773        3.7914995059200860E+036  0.77181404584153002        3.3481970061249440E+036  0.37912547754466402        1.0064935676642978E+037   1.2027460078644774        1.2612785319538152E+038   32.457317625553870        4.2345864521402996E+037   5.5503912099958708        1.6323414309647749E+034   1.5874821923930235E-003
                   19 -3.5	0.0   7.8000001907348633        6.4813622449871544E+036   1.7530017802989470        1.9127856058773239E+037   5.3053948018918806        3.1164939989462961E+037   8.4098288175216496        2.1511282065019803E+037   5.7932156675991768        1.9937297756985690E+036  0.46842958131142676        1.6131185855875464E+036  0.21348579988340161        4.8603360161018724E+036  0.67965890303158583        7.6149366543127922E+037   22.581035542044006        2.5625142842377471E+037   3.9548270015548375        1.6736563706312435E+034   1.9154861771669971E-003
                   20 -3.5	0.0   7.9000000953674316        3.8322701901434790E+036   1.1695843744018102        1.1309831144229997E+037   3.5523330241100002        1.8512118471434413E+037   5.6654621733541992        1.2777801022390220E+037   3.9181372732929058        9.8504511351756332E+035  0.26030164192140043        6.7368382623231918E+035   9.8682180445978748E-002   2.0251449855008886E+036  0.31278422090264391        5.0519160021254853E+037   17.015989602593169        1.6922172622404214E+037   2.9102819864601388        1.5720129557501172E+034   1.9891075282139773E-003
                   21 -3.5	0.0   8.0000000000000000        2.7104588469450751E+036  0.81494592170544244        7.9991311576038355E+036   2.4784812312764624        1.3214259091384972E+037   4.0030610644712512        9.1000298677704910E+036   2.7553489979825425        6.2956824988109777E+035  0.16689392540016290        3.8110339510031416E+035   5.8861287511494970E-002   1.1482668252750303E+036  0.18734071014889939        3.8198192915831576E+037   12.596726134516237        1.2795074465086955E+037   2.3159393326780964        2.4324438155578042E+034   3.2880355496126114E-003
                   22 -3.5	0.5   6.0000000000000000        4.2989705741795394E+039   248.00844775627002        1.2687161623685965E+040   753.46130217911718        2.2098585319966511E+040   1316.0340547002868        1.5288485737847381E+040   927.29280599471986        1.5183240542310792E+039   79.973682605232298        1.2628869411031387E+039   38.167703463898732        3.8050859614097407E+039   118.69446975515551        5.2163229631864808E+040   2765.1819238285857        1.7472879121528182E+040   517.06027737403929        3.3293884795792210E+036   8.5627814069170027E-002
                   23 -3.5	0.5   6.0999999046325684        4.1880758565483872E+039   223.96828513529968        1.2359888109824320E+040   702.44108827048194        2.1479023800502265E+040   1196.8100946284676        1.4859853890292423E+040   861.83848590558125        1.3490080437055651E+039   67.285424539721831        1.0023387936498234E+039   27.955737226990177        3.0200528235423683E+039   86.919977669248240        5.4577613218920075E+040   3078.1888582791166        1.8281614180061640E+040   497.43952501034175        1.7701682187265327E+036   4.1757563044820867E-002
                   24 -3.5	0.5   6.1999998092651367        4.0504156158330674E+039   208.85285359963586        1.1953623937280154E+040   602.36321939893810        2.0820904335893083E+040   1117.0287521233631        1.4404546462111202E+040   741.50257548531965        1.2373700182106236E+039   58.948845153734474        8.4430544239589189E+038   22.531632242352590        2.5380465825663341E+039   69.625594286167271        5.5526409131349330E+040   3083.5961750279362        1.8556650522157689E+040   480.18698746971495        1.0291995525962510E+036   2.2968847339726421E-002
                   25 -3.5	0.5   6.3000001907348633        3.9221650764105804E+039   186.29523633744822        1.1575129762011568E+040   564.86940583237083        2.0442116939062461E+040   1014.0294419928967        1.4109962786097774E+040   703.00608385520286        1.1207941831906360E+039   49.315627880129469        6.8631875711963327E+038   16.466450349388122        2.0678825497133871E+039   51.327896432589668        5.7613713459965628E+040   2789.9863773943898        1.9165752183200953E+040   446.87124521185331        8.2703876888046143E+035   1.6632243853755193E-002
                   26 -3.5	0.5   6.4000000953674316        3.2967742995859006E+039   137.92675141623872        9.7294707311745133E+039   427.25212314079437        1.7868546058287475E+040   783.84777404630677        1.2333581726182663E+040   553.21138422775903        8.5721392226657702E+038   32.444776226156407        4.6675525472760792E+038   9.2731069478285253        1.4031019103638651E+039   28.762620783562397        5.3590673606820256E+040   2154.2406590105152        1.7786447546614637E+040   341.52157175973019        7.0809123069809398E+035   1.1637743863373585E-002
                   27 -3.5	0.5   6.5000000000000000        2.9842150991988754E+039   108.21431298875633        8.8070431351128590E+039   319.89575767928937        1.6665951875861860E+040   641.26312233661122        1.1530021667565778E+040   427.74974890879741        9.0121855228753258E+038   29.672272035584967        5.8861337111171037E+038   9.7913449754957966        1.7734956330760852E+039   30.485561519379551        4.5690943213455893E+040   1744.9849360938824        1.5164570812897098E+040   244.28072978459113        2.5399789851060445E+036   3.3685137273489901E-002
                   28 -3.5	0.5   6.5999999046325684        2.2396318226617996E+039   92.501645472493436        6.5944203903895586E+039   278.47320270113676        1.2681675309714651E+040   560.40999390889647        8.7533970781430721E+039   377.02282332531337        7.1478697435134414E+038   26.920851868319200        4.9679432906990442E+038   9.5239622199292917        1.4934016598971299E+039   29.621146983814569        3.3433098643847483E+040   1395.5539248270038        1.1096260138702694E+040   205.44713216340628        1.0944013742029792E+036   1.6138198267991694E-002
                   29 -3.5	0.5   6.6999998092651367        1.2341542136083282E+039   59.466103828412784        3.6422473023300943E+039   184.63944837514620        7.2505245987465265E+039   376.27847243812511        5.0046006767776471E+039   258.85343190440068        3.9388498917630951E+038   17.421565588350074        2.7375964581073490E+038   6.1934752747659259        8.2483946200680333E+038   19.369464707339947        1.9425375843282915E+040   940.11471192801901        6.4027925406434194E+039   139.94702319201627        4.3789443936726973E+035   7.5935876054339666E-003
                   30 -3.5	0.5   6.8000001907348633        6.6385221071601838E+038   33.626307160577326        1.9591667694079942E+039   103.51887364040391        3.9000610544901466E+039   212.12166425249052        2.6919773772162488E+039   145.36775734763879        2.1780678565866411E+038   10.446036174496879        1.4999314310320462E+038   4.0398558127712993        4.5089083303926822E+038   12.706097021349592        1.0473007290404183E+040   527.23989908101942        3.4440655276254709E+039   89.834447803217245        7.9263164271723772E+034   1.6244715419567359E-003
                   31 -3.5	0.5   6.9000000953674316        3.1192209373038349E+038   19.653034339695381        9.2054736101820615E+038   59.553773393972584        1.8795164768562698E+039   128.32044953248732        1.3003077090416118E+039   88.961938168033683        1.0840420712438542E+038   6.6438668127925746        7.4997387866561033E+037   2.6948849176721343        2.2544787042468702E+038   8.4487274494749141        5.0355410107687805E+039   312.85676423433426        1.6483374935559421E+039   57.394708286836213        1.0093601098736122E+035   2.8511388965227077E-003
                   32 -3.5	0.5   7.0000000000000000        2.3623113086215802E+038   18.129426489304034        6.9716749302623610E+038   54.748107961351110        1.3782789677857643E+039   112.33004638428058        9.5573420415252889E+038   77.737120307890777        1.1332797508384809E+038   8.4366801653806220        1.1074831542748912E+038   5.1276621501387440        3.3368534155148954E+038   16.165805246476626        2.7310970237662501E+039   211.23301261769538        9.0227127026866536E+038   41.822706746298024        4.2008495602238680E+035   1.6173347705041460E-002
                   33 -3.5	0.5   7.0999999046325684        1.4422688369747735E+038   14.027633810518783        4.2564370990133463E+038   42.000808719113692        8.1479099362658603E+038   82.739500849142345        5.6629955432281637E+038   57.244256864171767        7.4309821799701828E+037   6.9350360578394161        8.5122862548070073E+037   5.0129760322575896        2.5647569765330234E+038   15.891928941727317        1.4290460367979463E+039   142.27400811119767        4.7538581623777157E+038   29.074753510014357        4.7648169372305669E+035   2.4083017427593716E-002
                   34 -3.5	0.5   7.1999998092651367        1.0043268492611904E+038   12.561739884589098        2.9639786641284039E+038   37.590882818081354        5.4685863374358831E+038   70.245680317804627        3.8008004873517978E+038   48.379543566764127        5.3811496888505167E+037   6.3227722575477356        7.2256192528263930E+037   5.2814731571365598        2.1770834337241149E+038   16.867876010963418        8.6074611879781652E+038   112.03328673052809        2.8765708362395880E+038   22.528755642778329        5.6088661108632461E+035   3.5458352152017661E-002
                   35 -3.5	0.5   7.3000001907348633        5.2206764906300102E+037   7.9347158609203632        1.5407308628587565E+038   23.925012344352680        2.6898420720671398E+038   41.814931926841439        1.8738153061726188E+038   29.032877029701869        2.5569767678853719E+037   3.5189077626401888        3.3092286996814753E+037   2.5831634952281344        9.9477939740897099E+037   8.2055807059609354        4.5470191382784309E+038   73.531498287498309        1.5230942625124796E+038   12.961444038918176        1.7649271426892530E+035   1.1777893744172842E-002
                   36 -3.5	0.5   7.4000000953674316        3.8052035960804942E+037   6.5871122919623133        1.1229951962096859E+038   19.897023246612367        1.9247658228404491E+038   33.781711663498406        1.3408429056448871E+038   23.455089056477558        1.8466215459534123E+037   2.8443311659911825        2.4795787083884763E+037   2.1430381264912128        7.4538027957881098E+037   6.8053359240049671        3.1796396098692577E+038   59.204474960461987        1.0699855151655772E+038   10.265491330823986        1.3470319552936173E+035   9.9567124494560639E-003
