WL     Counts
4484.28    6133.068000
4485.83    6203.085000
4487.37    6480.075000
4488.91    6682.190000
4490.46    6793.032000
4492.00    6508.368000
4493.54    6827.729000
4495.09    6434.110000
4496.63    6069.839000
4498.17    5844.508000
4499.71    5690.805000
4501.26    5550.796000
4502.80    5416.875000
4504.34    5874.491000
4505.89    5405.234000
4507.43    6065.367000
4508.97    5930.520000
4510.52    6139.076000
4512.06    6098.654000
4513.60    6683.669000
4515.15    6257.359000
4516.69    6652.927000
4518.23    6634.427000
4519.77    6886.458000
4521.32    6786.745000
4522.86    6519.971000
4524.40    6073.967000
4525.94    6391.415000
4527.49    6324.999000
4529.03    6572.820000
4530.57    6428.360000
4532.12    6610.633000
4533.66    6444.810000
4535.20    6614.292000
4536.75    6269.296000
4538.29    6251.560000
4539.83    6382.116000
4541.38    6578.745000
4542.92    6830.826000
4544.46    6794.900000
4546.00    7223.817000
4547.55    7103.684000
4549.09    6937.721000
4550.63    7150.971000
4552.18    7212.348000
4553.72    6858.308000
4555.26    7149.945000
4556.81    6597.271000
4558.35    6647.709000
4559.89    6701.687000
4561.44    6826.464000
4562.98    7082.362000
4564.52    7226.559000
4566.06    7170.418000
4567.61    6826.433000
4569.15    6573.895000
4570.69    5924.192000
4572.23    5955.872000
4573.78    5778.542000
4575.32    6003.435000
4576.86    6029.368000
4578.41    6093.586000
4579.95    6425.186000
4581.49    6648.953000
4583.04    6545.505000
4584.58    6837.749000
4586.12    6918.416000
4587.67    6712.266000
4589.21    6739.213000
4590.75    6541.353000
4592.29    6453.889000
4593.84    6558.932000
4595.38    6816.222000
4596.92    6546.465000
4598.47    6646.485000
4600.01    6842.384000
4601.55    7003.209000
4603.10    6934.822000
4604.64    7031.629000
4606.18    6993.938000
4607.73    6984.891000
4609.27    6939.222000
4610.81    6905.931000
4612.35    6990.578000
4613.90    7072.083000
4615.44    7264.278000
4616.98    6845.007000
4618.52    6906.953000
4620.07    7144.195000
4621.61    7209.611000
4623.15    6679.390000
4624.70    6589.744000
4626.24    6550.434000
4627.78    6563.375000
4629.33    6487.036000
4630.87    6598.643000
4632.41    6663.533000
4633.96    6734.410000
4635.50    6792.520000
4637.04    6674.721000
4638.58    6752.621000
4640.13    6527.275000
4641.67    6429.146000
4643.21    6517.429000
4644.76    6437.809000
4646.30    6728.013000
4647.84    6533.247000
4649.39    6899.977000
4650.93    6856.557000
4652.47    7056.190000
4654.02    7236.160000
4655.56    7153.276000
4657.10    7151.824000
4658.64    7371.017000
4660.19    7204.239000
4661.73    7345.801000
4663.27    7534.590000
4664.81    7409.604000
4666.36    7344.931000
4667.90    7454.080000
4669.44    7149.705000
4670.99    7054.290000
4672.53    7282.358000
4674.07    7474.891000
4675.62    7261.924000
4677.16    7108.246000
4678.70    7137.892000
4680.25    6994.982000
4681.79    6781.497000
4683.33    6634.778000
4684.88    6472.809000
4686.42    6623.733000
4687.96    6391.411000
4689.50    6618.282000
4691.05    6540.875000
4692.59    6431.785000
4694.13    6265.896000
4695.68    6816.465000
4697.22    6764.068000
4698.76    6932.186000
4700.30    6802.293000
4701.85    6746.951000
4703.39    6872.396000
4704.93    7126.612000
4706.48    6923.855000
4708.02    6784.482000
4709.56    6355.035000
4711.10    6460.720000
4712.65    6157.267000
4714.19    6100.589000
4715.73    6120.231000
4717.28    6542.687000
4718.82    6677.147000
4720.36    6587.441000
4721.91    6599.511000
4723.45    6551.814000
4724.99    6406.817000
4726.53    6290.173000
4728.08    6591.543000
4729.62    6731.937000
4731.16    6584.676000
4732.71    6366.771000
4734.25    6503.866000
4735.79    6555.039000
4737.34    6631.218000
4738.88    6628.374000
4740.42    6784.920000
4741.97    6607.534000
4743.51    6267.390000
4745.05    6236.974000
4746.59    6305.388000
4748.14    6184.106000
4749.68    6025.424000
4751.22    5969.052000
4752.77    6158.306000
4754.31    6166.160000
4755.85    6381.817000
4757.40    6297.904000
4758.94    6471.033000
4760.48    6546.350000
4762.02    6357.101000
4763.57    6789.485000
4765.11    7036.803000
4766.65    6902.271000
4768.20    7009.517000
4769.74    6994.429000
4771.28    7038.660000
4772.82    6589.784000
4774.37    6441.678000
4775.91    6671.875000
4777.45    6532.272000
4779.00    6654.668000
4780.54    6773.761000
4782.08    6846.218000
4783.63    6822.435000
4785.17    6827.661000
4786.71    7196.573000
4788.26    6965.573000
4789.80    7090.887000
4791.34    7336.361000
4792.88    7155.151000
4794.43    7093.552000
4795.97    7222.521000
4797.51    7196.722000
4799.06    7032.047000
4800.60    6942.917000
4802.14    6854.313000
4803.69    6859.759000
4805.23    7078.728000
4806.77    6808.068000
4808.31    6696.850000
4809.86    6774.696000
4811.40    6618.064000
4812.94    6628.636000
4814.49    6812.430000
4816.03    6664.375000
4817.57    6861.199000
4819.11    6986.963000
4820.66    7262.666000
4822.20    7406.550000
4823.74    7429.535000
4825.29    7135.473000
4826.83    6885.022000
4828.37    6836.139000
4829.92    6892.494000
4831.46    6862.444000
4833.00    7074.607000
4834.55    6764.530000
4836.09    6867.024000
4837.63    6984.404000
4839.17    6993.160000
4840.72    7091.287000
4842.26    7333.622000
4843.80    7204.934000
4845.35    7181.623000
4846.89    7071.435000
4848.43    6997.648000
4849.98    6947.352000
4851.52    6957.960000
4853.06    6816.402000
4854.60    6861.756000
4856.15    7008.998000
4857.69    7066.577000
4859.23    6875.670000
4860.78    7187.757000
4862.32    7040.014000
4863.86    7378.844000
4865.40    7049.686000
4866.95    6915.106000
4868.49    6917.147000
4870.03    6864.534000
4871.58    7041.593000
4873.12    6776.058000
4874.66    6763.118000
4876.21    6977.852000
4877.75    6714.698000
4879.29    6789.471000
4880.84    6955.720000
4882.38    6663.925000
4883.92    6669.164000
4885.46    6948.850000
4887.01    6727.289000
4888.55    6885.135000
4890.09    6702.965000
4891.64    6932.258000
4893.18    6689.173000
4894.72    6868.065000
4896.27    6687.615000
4897.81    6767.618000
4899.35    6809.117000
4900.89    6570.187000
4902.44    6352.705000
4903.98    6400.349000
4905.52    6117.256000
4907.07    6057.472000
4908.61    5955.267000
4910.15    5985.698000
4911.69    6149.250000
4913.24    6180.490000
4914.78    6207.981000
4916.32    6142.307000
4917.87    6224.274000
4919.41    6152.210000
4920.95    6437.004000
4922.50    6503.193000
4924.04    6658.839000
4925.58    6693.905000
4927.12    6868.628000
4928.67    6850.653000
4930.21    6709.991000
