                  ID                Teff            Teff_err              log(g)          log(g)_err              [Fe/H]          [Fe/H]_err                sHRD
                 123             30069.8           500.00000           3.2205000         0.050000001                  -99.9                  -99.9             4.08444
                 124             30010.3           569.99969           3.1530001         0.099000216                  -99.9                  -99.9             4.14849
                 125             32000.0           500.00000           3.4000001         0.050000001                  -99.9                  -99.9             4.01301
                 126           29000.000             1000.00           4.1000000            0.100000                  -99.9                  -99.9             3.14200
                 127             31560.2           639.99939           3.7850001         0.095000029                  -99.9                  -99.9             3.60397
                 128             32000.0           500.00000           3.7000000         0.050000001                  -99.9                  -99.9             3.71301
                 129             33400.3           640.00320           4.0949998          0.11499977                  -99.9                  -99.9             3.39242
                 130             32839.8           500.00000           4.0050001         0.050000001                  -99.9                  -99.9             3.45302
                 131           29000.000             1000.00           3.1000000            0.100000                  -99.9                  -99.9             4.14200
                 132           28000.000             1000.00           2.8000000            0.100000                  -99.9                  -99.9             4.38105
                 133           30000.000             1000.00           3.0000000            0.100000                  -99.9                  -99.9             4.30090
                 134           28000.000             1000.00           2.8000000            0.100000                  -99.9                  -99.9             4.38105
                 135             31120.0           500.00000           3.1025000         0.050000001                  -99.9                  -99.9             4.26207
                 136             32999.7           500.00000           3.4000001         0.050000001                  -99.9                  -99.9             4.06645
                 137             32000.0           500.00000           3.4000001         0.050000001                  -99.9                  -99.9             4.01301
                 138             32000.0           500.00000           3.4000001         0.050000001                  -99.9                  -99.9             4.01301
                 139             34320.2           500.00000           3.6164999         0.058499813                  -99.9                  -99.9             3.91811
                 140             32000.0           500.00000           3.3000000         0.050000001                  -99.9                  -99.9             4.11301
                 141             34000.1           500.00000           3.5999999         0.050000001                  -99.9                  -99.9             3.91833
                 142             32000.0           500.00000           3.5000000         0.050000001                  -99.9                  -99.9             3.91301
                 143             35119.6           500.00000           3.9000001         0.050000001                  -99.9                  -99.9             3.67461
                 144             35930.2           510.00214           4.2080002         0.068000317                  -99.9                  -99.9             3.40625
                 145             33920.3           519.99664           3.3915000         0.050000001                  -99.9                  -99.9             4.12275
                 146             34260.2           539.99710           3.6880000         0.083999872                  -99.9                  -99.9             3.84357
                 147             33360.3           639.99939           3.6949999          0.10500002                  -99.9                  -99.9             3.79033
                 148             34000.1           560.00137           3.9100001         0.070000172                  -99.9                  -99.9             3.60833
                 149           29000.000             1718.78           2.9000000            0.166804                  -99.9                  -99.9             4.34200
                 150             32719.8           639.99939           3.4275000          0.12150002                  -99.9                  -99.9             4.02416
                 151           23000.000             1000.00           2.7000000            0.100000                  -99.9                  -99.9             4.13932
                 152           20000.000             1000.00           2.5000000            0.100000                  -99.9                  -99.9             4.09653
                 153           20000.000             1000.00           2.8000000            0.100000                  -99.9                  -99.9             3.79653
                 154           22000.000             1000.00           3.0000000            0.100000                  -99.9                  -99.9             3.76210
                 155           30000.000             1000.00           4.2000000            0.100000                  -99.9                  -99.9             3.10090
                 156           22000.000             1000.00           3.9000000            0.143794                  -99.9                  -99.9             2.86210
                 157           22000.000             1000.00           4.0000000            0.100000                  -99.9                  -99.9             2.76210
                 158           21000.000             1000.00           4.1000000            0.100000                  -99.9                  -99.9             2.58129
                 159           19000.000             1000.00           3.8000000            0.153516                  -99.9                  -99.9             2.70743
                 160           19000.000             1000.00           4.0000000            0.100000                  -99.9                  -99.9             2.50743
                 161           19000.000             1000.00           4.0000000            0.100000                  -99.9                  -99.9             2.50743
                 162           19000.000             1000.00           3.8000000            0.166713                  -99.9                  -99.9             2.70743
                 163           18000.000             1000.00           3.7000000            0.100000                  -99.9                  -99.9             2.71350
